632,632,1019473920,0.641273,-0.231963,0.724118,-0.103035,54.3368,2.20946,-128.659,54.3368,2.20946,-128.659,0.0236084
632,632,1028420608,0.681468,-0.226458,0.651633,-0.244323,-0.575042,2.99163,-179.762,-0.575042,2.99163,-179.762,0.105928
1328,1328,1019473920,0.642089,-0.237162,0.723396,-0.0904124,54.3128,1.79198,-128.548,54.3128,1.79198,-128.548,0.0257905
1328,1328,1028420608,0.681392,-0.226532,0.651638,-0.244451,-0.569351,3.00891,-179.776,-0.569351,3.00891,-179.776,0.106423
2064,2064,1019473920,0.664548,-0.202786,0.718305,-0.0359473,53.4937,51.4089,-178.481,53.4937,51.4089,-178.481,0.0419289
2064,2064,1028420608,0.68138,-0.226415,0.651675,-0.244495,-0.559723,3.02336,-179.781,-0.559723,3.02336,-179.781,0.106225
2944,2944,1019473920,0.659656,-0.211564,0.720187,-0.0377656,53.494,51.5233,-178.254,53.494,51.5233,-178.254,0.0346249
2944,2944,1028420608,0.681303,-0.226445,0.651735,-0.244523,-0.574393,3.01356,-179.754,-0.574393,3.01356,-179.754,0.108989
4192,4192,1019473920,0.686573,-0.137958,0.713363,0.026441,53.4058,1.85493,-229.906,53.4058,1.85493,-229.906,0.023232
4192,4192,1028420608,0.681396,-0.226357,0.651695,-0.244452,-0.569252,3.00634,-179.799,-0.569252,3.00634,-179.799,0.107017
5120,5120,1019473920,0.678646,-0.147825,0.719375,0.00927884,53.347,2.0281,-229.554,53.347,2.0281,-229.554,0.0272121
5120,5120,1028420608,0.681337,-0.226462,0.65165,-0.244637,-0.556879,3.00585,-179.771,-0.556879,3.00585,-179.771,0.106854
6464,6464,1019473920,0.67241,-0.179374,0.71766,-0.0255827,54.6133,-48.3993,-169.255,54.6133,-48.3993,-169.255,0.0616681
6464,6464,1028420608,0.681388,-0.224208,0.653282,-0.242207,-0.563266,2.98775,-179.712,-0.563266,2.98775,-179.712,0.106698
7280,7280,1019473920,0.640182,-0.243553,0.72137,-0.102346,54.6972,-48.0389,-168.738,54.6972,-48.0389,-168.738,0.0551459
7280,7280,1028420608,0.68138,-0.224232,0.653265,-0.242252,-0.550945,2.98003,-179.717,-0.550945,2.98003,-179.717,0.105137
